,price,year,manufacturer,condition,odometer,type,group
3030,14995,2008.0,jeep,excellent,127000.0,SUV,2
3031,10995,2008.0,bmw,excellent,93000.0,SUV,3
3032,7995,2010.0,honda,excellent,119000.0,mini-van,2
3033,5995,2007.0,cadillac,excellent,69000.0,sedan,3
3035,12995,2012.0,mercedes-benz,excellent,69000.0,sedan,1
3036,15995,2011.0,gmc,excellent,95000.0,pickup,2
3037,13995,2013.0,volvo,excellent,89000.0,SUV,1
3038,7995,2008.0,toyota,excellent,111000.0,mini-van,1
3039,15995,2011.0,mercedes-benz,excellent,79000.0,sedan,1
3040,7995,2014.0,volkswagen,excellent,79000.0,sedan,1
3042,4500,2007.0,subaru,good,90000.0,sedan,1
3046,1000,2001.0,jeep,good,202000.0,SUV,2
3057,6995,2014.0,ford,excellent,79632.0,hatchback,2
3060,800,2005.0,toyota,fair,205000.0,coupe,1
3063,3500,2005.0,subaru,good,83000.0,SUV,1
3069,7995,2009.0,subaru,excellent,121356.0,SUV,1
3071,12500,2010.0,toyota,good,148707.0,pickup,1
3076,2000,2009.0,ford,excellent,114000.0,wagon,2
3077,4600,2006.0,cadillac,good,85000.0,sedan,3
3081,19000,2014.0,chevrolet,excellent,129000.0,pickup,3
3082,4500,2005.0,subaru,good,119000.0,wagon,1
3084,8500,2008.0,honda,good,145505.0,truck,2
3085,13000,2014.0,lexus,excellent,82299.0,hatchback,2
3088,13850,2013.0,subaru,like new,25321.0,wagon,1
3090,2999,2007.0,toyota,good,131900.0,hatchback,1
3091,19995,2013.0,jeep,excellent,54354.0,SUV,2
3092,9495,2014.0,ford,good,146000.0,SUV,2
3097,19995,2006.0,gmc,good,134965.0,truck,2
3100,6995,2014.0,dodge,good,184000.0,sedan,3
3101,4995,2008.0,chevrolet,good,139000.0,SUV,3
3109,3000,2007.0,audi,fair,165258.0,sedan,3
3110,3500,2005.0,subaru,good,83000.0,SUV,1
3112,10500,2008.0,gmc,excellent,109800.0,truck,2
3113,3999,2012.0,chevrolet,excellent,159000.0,SUV,3
3123,2000,1999.0,ford,good,100567.0,truck,2
3125,2000,1999.0,ford,good,100567.0,truck,2
3126,9995,2012.0,toyota,excellent,77000.0,sedan,1
3127,3750,2003.0,toyota,good,218856.0,SUV,1
3128,7995,2012.0,ford,excellent,129117.0,SUV,2
3130,22498,2013.0,ram,good,134386.0,truck,1
3137,1800,2004.0,mercury,good,96340.0,sedan,1
3138,14995,2012.0,gmc,excellent,64000.0,pickup,2
3141,6950,2008.0,chrysler,good,97111.0,SUV,3
3143,3950,2012.0,ford,good,121086.0,sedan,2
3144,6995,2013.0,ford,good,196000.0,SUV,2
3146,11500,2014.0,honda,excellent,70742.0,sedan,2
3147,6950,2015.0,dodge,good,105418.0,van,3
3148,4950,2004.0,ram,excellent,190.0,pickup,1
3150,10950,2013.0,dodge,good,97368.0,van,3
3153,9500,2013.0,volkswagen,excellent,67121.0,sedan,1
3166,8995,2012.0,subaru,excellent,117957.0,sedan,1
3169,4500,2005.0,subaru,excellent,167000.0,wagon,1
3171,3500,2009.0,volvo,good,120000.0,sedan,1
3172,5899,2013.0,kia,excellent,93000.0,hatchback,2
3174,20500,2011.0,ford,excellent,189000.0,pickup,2
